,buyers,contract_value,suppliers
35711,Comisión Nacional del Sistema de Ahorro para el Retiro,0,ALAN ISRAEL DARAN PIEDRAS
35713,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,40135.95,MEDICAL DIMEGAR SA DE CV
35714,Secretaría de la Función Pública,0,ERICKA BARRERA MONDRAGON
35715,Secretaría de Relaciones Exteriores,0,GRUPO ARTE Y COMUNICACION SC
35719,Instituto de Administración y Avalúos de Bienes Nacionales,0,SUSANA FERNANDEZ AGUILA
35720,Instituto de Administración y Avalúos de Bienes Nacionales,0,SUSANA FERNANDEZ AGUILA
35722,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,EDENRED MEXICO SA DE CV
35726,Instituto Nacional de Bellas Artes y Literatura,0,MARIA MONICA AGUILAR RICO
35727,Centro SCT Veracruz,31860392.82,INGENIERIA Y ARQUITECTURA CARMAR SA DE CV
35728,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MIGUEL ANGEL HERNANDEZ DAVILA
35730,Centro SCT San Luis Potosí,5597712.35,INFRAESTRUCTURA DEL GOLFO S.A. DE C.V.
35732,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,JOSE LUIS DEL VALLE MEDINA
35734,Secretaría de Comunicaciones y Transportes,0,"MAGEN DAVID ADOM, S.A DE C.V."
35735,Secretaría de la Función Pública,0,CESAR HERNANDEZ BELTRAN
35739,Comisión Nacional del Agua,0,Constructora Capuccino
35740,Secretaría de la Función Pública,0,LUCIA VALLADARES ESCOBAR
35742,Registro Agrario Nacional,0,LEOVIP SA DE CV
35744,Procuraduría General de la República,0,MARIA HUERTA PEREZ
35748,Centro Nacional de Metrología,602932.62,MÖLLER-WEDEL OPTICAL GmbH
35749,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,ROBERTO CASTILLA HERNANDEZ
35750,Centro SCT Jalisco,2337910.91,PROYECTOS Y CONSTRUCCIONES DINAMICAS S.A. DE C.V.
35751,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,JOSE LUIS VELARDE REYES
35752,Secretaría de Desarrollo Social,0,CONSORCIO GASOLINERO PLUS
35753,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
35755,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,ALAN ROBERTO OROZCO TOVAR
35758,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,JESUS PIOQUINTO CRUZ
35759,Secretaría de Cultura,0,INVIPRESS SA DE CV
35760,Servicio de Administración Tributaria,4339139.71,EULEN DE SEGURIDAD PRIVADA SA DE CV
35762,Comisión Nacional del Agua,0,INSTALACIONES Y MANTENIMIENTO ELECTRICO DE BAJA CALIFORNIA SUR SA DE CV
35763,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
35766,XE-IPN Canal 11,0,FRANCISCO ABUNDIS LUNA  
35771,Presidencia de la República,0,FLAMAMEX SA DE CV
35774,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
35779,Secretaría de Cultura,0,AL PALACE MUSIC ENTERTAINMENT SA DE CV
35781,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
35783,Secretaría de Salud,0,RAUL ALEJANDRO RIVERA SOLIS
35785,Consejo Nacional para Prevenir la Discriminación,536616,SEGUIMIENTO TEMATICO S.A. DE C.V.
35789,Instituto Mexicano de la Juventud,246095.17,BINIZA ORTEGA MUÑOZ
35792,Secretaría de Desarrollo Social,0,DEMOS DESARROLLO DE MEDIOS SA DE CV
35794,XE-IPN Canal 11,0,TZINDIA ANABEL CERDA SALINAS
35795,Instituto Nacional de Bellas Artes y Literatura,0,TEATROSINPAREDES A C
35797,Instituto Nacional de Bellas Artes y Literatura,0,SHIRLEY BRIDGET ADAUTA GONZALEZ
35798,XE-IPN Canal 11,0,MAURICIO ISRAEL PEREZ RAMOS
35799,Instituto de Administración y Avalúos de Bienes Nacionales,0,ANALISIS ECONOMICOS PROFESIONALES SA DE CV
35806,delegación en Tabasco,37882.16,MARIA DE LOURDES MORALES GARCIA
35807,Instituto Nacional de Migración,0,"CORPORATIVO DIAMANTE DEL SURESTE, S.A. DE C.V."
35810,Instituto de Administración y Avalúos de Bienes Nacionales,156153.84,YELHA SA DE CV
35816,Consejo Nacional para Prevenir la Discriminación,30419.58,ARACELI FERNANDEZ CEDEÑO FRANCO
35818,Dirección General de Industria Militar,713785.54,SATELITE GAS  S A  DE C V
35819,Instituto de Administración y Avalúos de Bienes Nacionales,0,JORGE SANCHEZ ZEPEDA
35820,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,CESAR MITRE CHAVEZ
35821,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",0,E.M. CALIDAD ANALITICA SA DE CV
35823,Secretaría de Comunicaciones y Transportes,0,LUIS ALBERTO CADENA GUEVARA
35824,Secretaría de la Función Pública,0,JOSE ISAI REVELES RAMIREZ
35826,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,35724.96,FARMACEUTICOS MAYPO SA DE CV
35827,Secretaría de Comunicaciones y Transportes,0,OPERADORA Y DESARROLLADORA NAO-OQUIL SA DE CV
35828,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,TOMAS URBINA TORRES
35829,Secretaría de Cultura,0,JUAN RAMÍREZ PAULINO
35831,Servicios de Atención Psiquiátrica,0,"LKG GLOBAL SOLUTION, SA. DE C. V."
35835,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,ANA MAGDALENA DOROTEO ARTEAGA
35836,Secretaría de Comunicaciones y Transportes,0,CONSTRUCTORA MORALES ZENTENO Y CIA
35837,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,ALMA DELIA GONZALEZ ARRIAGA
35840,Instituto de Administración y Avalúos de Bienes Nacionales,0,JOSE FERNANDO VIRGEN MEDINA
35841,Secretaría de Comunicaciones y Transportes,0,INGENIERIA Y CONSTRUCCIONES LA NORIA SA DE CV
35842,Instituto Nacional de Cardiología Ignacio Chávez,210192,ARROW INTERNACIONAL DE MEXICO SA DE CV
35847,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,JUAN RICARDO VILLARREAL VALLEJO
35851,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,118999.99,COMERCIAL BIOMEDICO JR SA DE CV
35853,Instituto Nacional de Bellas Artes y Literatura,0,RUBY TAGLE WILLINGHAM
35854,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35855,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,12700,CARLOS RAMIREZ GONZALEZ
35856,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,3835582,GRUPO MEXICANO DE SEGUROS SA DE CV
35859,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35860,Secretaría de Cultura,0,"SEGUROS INBURSA, S.A. GRUPO FINANCIERO INBURSA"
35863,Instituto de Administración y Avalúos de Bienes Nacionales,0,MARCO ANTONIO REYES LARRAURI
35864,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35865,Instituto de Administración y Avalúos de Bienes Nacionales,0,ROBERTO LUIS MORALES LEVER
35866,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35867,Secretaría de Cultura,0,JESUS RICARDO FUENTES GOMEZ
35868,Consejo Nacional de Evaluación de la Política de Desarrollo Social,1497000,"SISTEMAS DE INTELIGENCIA EN MERCADOS Y OPINIÓN, S.C."
35869,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
35870,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LLERA GARCIA
35872,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35874,Secretaría de la Defensa Nacional,0,PROTECTION MATERIALS
35877,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
35879,Instituto de Administración y Avalúos de Bienes Nacionales,0,EQUITY APPRAISAL SPECIALISTS SA DE CV
35880,Secretaría de Comunicaciones y Transportes,0,GRUPO CONSTRUCTOR PPCANSE DEL SUR S.A. DE C.V.
35882,Instituto de Administración y Avalúos de Bienes Nacionales,0,EQUITY APPRAISAL SPECIALISTS SA DE CV
35883,Instituto Mexicano del Transporte,0,KAESER COMPRESORES DE MEXICO S DE RL DE CV
35884,Instituto de Administración y Avalúos de Bienes Nacionales,0,EQUITY APPRAISAL SPECIALISTS SA DE CV
35885,Televisión Metropolitana S.A. de C.V.,44219.2,ESCAPE AUDIO SA DE CV
35886,Comisión Nacional de Áreas Naturales Protegidas,0,SUPER TIENDA DEL HOGAR SA DE CV
35887,Secretaría de Comunicaciones y Transportes,0,JOSE MANUEL ROJAS FIERRO
35888,Instituto de Administración y Avalúos de Bienes Nacionales,0,EQUITY APPRAISAL SPECIALISTS SA DE CV
35891,Instituto Nacional de Medicina Genómica,443688.18,"BIOTECH DEL NORTE, S.A. P.I. DE C.V."
35892,Centro Nacional de Equidad de Género y Salud Reproductiva,0,ADRIANA MORENO RAMÍREZ
35893,Secretaría de Energía,0,ELEVADORES OTIS S DE RL DE CV
35894,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
35895,Consejo Nacional de Evaluación de la Política de Desarrollo Social,3932477.92,IMMER SAUBER S.A. DE C.V.
35896,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
35897,Instituto Nacional de Migración,0,"ORZEL SERVICIO DE SEGURIDAD PRIVADA Y EMPRESARIALES, S.A. DE C.V. "
35898,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
35899,Secretaría de la Defensa Nacional,0,FLORENCIA CALIXTO LIBRADO
35900,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,137974.19,SMITH & NEPHEW  S.A. DE C.V.
35901,XE-IPN Canal 11,0,KARLA PANTOJA DAVILA
35905,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO VALENZUELA PORCHAS SA DE CV
35906,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
35907,Instituto de Administración y Avalúos de Bienes Nacionales,0,INVERTIERRA SISTEMAS DE VALUACION SC
35908,Secretaría de Hacienda y Crédito Público,0,ESTUDIOS Y ESTRATEGIAS PARA EL DESARROLLO Y LA EQUIDAD EPADEQ SC
35910,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
35911,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
35912,Instituto de Administración y Avalúos de Bienes Nacionales,0,AURELIO SAMANIEGO CALDERON
35913,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,29300,MEDICAL PHARMACEUTICA SA DE CV
35914,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
35915,Instituto de Administración y Avalúos de Bienes Nacionales,0,GONZALO RODRIGUEZ COVARRUBIAS
35916,Secretaría de Cultura,0,Ana Jimenza Müller Monzon
35917,Comisión Nacional del Agua,5993430.87,EXPERIENCIA INMOBILIARIA TOTAL S.A. DE C.V.
35918,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,JOSE DE JESUS LIMA ANDRADE
35922,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,MENSAJERIA Y SERVICIOS ARROBA
35924,Instituto de Administración y Avalúos de Bienes Nacionales,0,FRANCISCO DE ASIS CAMPOS CORNEJO
35925,Comisión Nacional del Agua,0,ARMHI CONSTRUCCIONES SA DE CV
35926,Instituto Nacional de Medicina Genómica,19392.88,REACTIVOS Y MARCAS DE MEXICO S A DE C V
35929,Instituto de Administración y Avalúos de Bienes Nacionales,0,PROMOTORA AGROPEK SA DE CV
35930,Secretaría de Economía,0,PICCINI SA DE CV
35931,Servicio de Administración Tributaria,94366,ELECTRICIDAD INDUSTRIAL Y MANTENIMIENTO SA DE CV
35932,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,OSCAR ERNIE OROZCO TOVAR
35934,delegación en Tabasco,33211.350000000006,KARLA VERÓNICA BUSTAMANTE LEÓN
35935,delegación SEDESOL en Durango,5988.91,SILVIA SUSANA VELOZ NUÑEZ
35936,Instituto de Administración y Avalúos de Bienes Nacionales,0,PROMOTORA AGROPEK SA DE CV
35937,Televisión Metropolitana S.A. de C.V.,240346.76,ALBERTO PEREZ ARANDA
35938,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
35940,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
35941,Comisión Nacional del Agua,0,DISEÑOS ARQUITECTONICOS Y CIVILES SA DE CV
35942,Instituto de Administración y Avalúos de Bienes Nacionales,0,GLOBAL APPRAISALS SA DE CV
35943,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
35944,Secretaría de la Función Pública,0,DULCE MARIA MENDIVIL GARCIA
35945,delegación Estatal en Yucatán,160000,JOSE VICTORIANO KU TUZ
35949,Comisión Nacional Bancaria y de Valores,0,LUZ MARIA GONZALEZ GARCIA
35951,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,JAIME OSVALDO ESTRADA RIVAS
35956,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,SI VALE MEXICO SA DE CV
35957,Servicios a la Navegación en el Espacio Aéreo Mexicano,0,DISTRIBUIDORA VM-DAN SA DE CV
35958,Instituto de Administración y Avalúos de Bienes Nacionales,0,AVALUOS Y CONSTRUCCIONES DE OCCIDENTE SA DE CV
35959,Servicios a la Navegación en el Espacio Aéreo Mexicano,18270,CONSMALIMPIEZA S DE RL
35960,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez,211959.82,"INGENIERIA EN ELEVADORES, S.A. DE  C.V."
35963,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
35966,Secretaría de Comunicaciones y Transportes,0,MACOAR EL YAQUI S.A. DE C.V.
35967,Instituto de Administración y Avalúos de Bienes Nacionales,0,JORGE SANCHEZ ZEPEDA
35968,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35970,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,FARIAS COMPRA Y VENTA Y COMERCIALIZACION DE BIENES Y SERVICIOS SA DE CV
35971,Instituto de Administración y Avalúos de Bienes Nacionales,0,MANUEL FRANCISCO LOPEZ LUNA
35972,Consejo Nacional para Prevenir la Discriminación,166257,EDUARDO MARTINEZ MONTESINO
35973,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
35974,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,ERIC VELAZQUEZ GONZALEZ
35975,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALEJANDRO RICO INGENIEROS SC
35978,Secretaría de Hacienda y Crédito Público,0,Óscar Darío Chapa Zapata
35979,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,35000,ARTIMEDICA SA DE CV
35980,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
35981,Secretaría de Desarrollo Social,0,JOSE ANTONIO BERNAL BLASQUEZ
35983,Sistema Nacional para el Desarrollo Integral de la Familia,100000,AGAVIS DIGITAL S.C.
35984,delegación en Tabasco,22148.15,JESUS ARMANDO MEJIA NUÑEZ
35985,Instituto de Administración y Avalúos de Bienes Nacionales,0,LUIS ALBERTO MENDOZA PEREZ
35987,Instituto de Administración y Avalúos de Bienes Nacionales,0,SALVADOR RODARTE ARIAS
35988,Servicios a la Navegación en el Espacio Aéreo Mexicano,20814.09,ANA ISABEL GOMEZ PEREZ
35992,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
35993,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALFONSO BOLIO GOMEZ
35995,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,ABASTECEDORA GPC DEL SUR SA DE CV
35996,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,303602.33,"GRUPO SISTEMAS LOGICOS, SA DE CV"
35998,Instituto de Administración y Avalúos de Bienes Nacionales,0,MARIA LUISA PEREDA REYES
35999,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
36000,Instituto de Administración y Avalúos de Bienes Nacionales,0,JORGE ANTONIO GARCIA ROMERO
36001,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALFONSO BOLIO GOMEZ
36003,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",0,JOAQUIN LAMBAREN VALENCIA
36004,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",0,REKA CONTROL Y AUTOMATIZACION SA DE CV
36007,Instituto de Administración y Avalúos de Bienes Nacionales,0,SALVADOR RODARTE ARIAS
36008,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
36009,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
36010,Comisión Nacional del Sistema de Ahorro para el Retiro,0,DIANA ZULEYMA CASTILLO ALARCON
36014,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
36017,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
36018,Instituto de Administración y Avalúos de Bienes Nacionales,0,ANALISIS ECONOMICOS PROFESIONALES SA DE CV
36021,Instituto de Administración y Avalúos de Bienes Nacionales,0,LOGOS SA DE CV
36024,Secretaría de Cultura,0,"EDITORIAL CRUZADA, S.A. DE C.V."
36026,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
36028,Procuraduría de la Defensa del Contribuyente,107726.88,NOTMUSA SA DE CV
36029,"FONATUR Mantenimiento Turístico, S.A. de C.V.",74008,RAUL  ROMERO LEON
36030,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,KAROLINA MARTINEZ DIAZ
36033,Centro Nacional de Equidad de Género y Salud Reproductiva,0,EVA DUARTE MARTÍNEZ
36034,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
36035,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
36037,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,129369,GEORGINA MONSERRAT GOMEZ VALENCIA
36039,Instituto Nacional de Antropología e Historia,0,"Plus Internacional Ingenieros, S.A. de C.V."
36042,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
36043,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
36046,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36049,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36051,Instituto de Administración y Avalúos de Bienes Nacionales,0,CONSULTORIA EN CALIFICACION DE INMUEBLES Y NEGOCIOS SC
36054,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
36055,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
36056,Administración Federal de Servicios Educativos en el Distrito Federal,0,CORPORATIVO DE SERVICIOS NACIONALES LARO SA DE CV
36057,Instituto de Administración y Avalúos de Bienes Nacionales,0,CONSULTORIA EN CALIFICACION DE INMUEBLES Y NEGOCIOS SC
36060,Instituto de Administración y Avalúos de Bienes Nacionales,0,CONSULTORIA EN CALIFICACION DE INMUEBLES Y NEGOCIOS SC
36061,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
36062,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,42758.48,GRUPO VEROMO  S.A. DE C.V.
36063,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,CARLOS ALARCON FLORES
36066,Instituto Nacional de la Economía Social,0,FORMAS EFICIENTES
36067,Instituto de Administración y Avalúos de Bienes Nacionales,0,ANALISIS ECONOMICOS PROFESIONALES SA DE CV
36068,XE-IPN Canal 11,0,ENRIQUE AGUILAR FOYO
36069,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
36070,Procuraduría General de la República,0,BUSTINZAR E INGENIEROS ASOCIADOS EN MOTOCICLISMO SA DE CV
36071,Instituto de Administración y Avalúos de Bienes Nacionales,0,CONSULTORIA EN CALIFICACION DE INMUEBLES Y NEGOCIOS SC
36072,Secretaría de Comunicaciones y Transportes,0,FERRETERIA GUADALAJARA SA DE CV
36073,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,116232,"DAMAROS MEDI, S.A. DE C.V."
36074,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
36075,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
36077,Secretaría de Comunicaciones y Transportes,0,"VIA UNO ARRENDAMIENTO E INTEGRACION, S.A. DE C.V. "
36078,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
36080,Dirección General del Registro Nacional de Población e Identificación Personal,126071173.21,SIXSIGMA NETWORKS MEXICO S.A. DE C.V.
36082,Secretaría de la Defensa Nacional,0,COMERCIALIZADORA DE SERVICOS INDUSTRIALES Y SUMINISTROS FH
36083,Instituto Nacional de Desarrollo Social,0,PRESLOW SA DE CV
36084,Comisión Nacional Bancaria y de Valores,0,VALLES FIGUEROA JUAN FRANCISCO
36085,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,CREATIVIDAD BARGO S DE RL DE CV
36087,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,MONSERRAT LOPEZ LOPEZ
36088,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
36089,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL ALEJANDRO PONCE SANCHEZ
36090,Servicio de Información Agroalimentaria y Pesquera,1994556.47,FIREKY SA DE CV
36091,Secretaría de Cultura,0,ALEJANDRO PÉREZ RINCON
36094,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MA. ESTHER SOLEDAD REYES
36095,Secretaría de la Función Pública,0,SEGUROS AFIRME SA DE CV AFIRME GRUPO FINANCIERO
36097,"Hospital General de México ""Dr. Eduardo Liceaga""",135998.4,CONTINENTAL MEXICANA DE PRODUCTOS SA DE CV
36098,Comisión Nacional Bancaria y de Valores,0,KAREM DIAZ BARRENECHEA
36100,Secretaría de la Función Pública,0,MARISELA BARILLAS LORENZO
36102,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
36103,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
36104,Instituto de Administración y Avalúos de Bienes Nacionales,0,INVERTIERRA SISTEMAS DE VALUACION SC
36105,Secretaría de Comunicaciones y Transportes,0,CONSTRUCTORA VISION Y PROYECTO SA DE CV
36106,Secretaría de Hacienda y Crédito Público,0,HEIDELBERG MEXICO
36107,Instituto Nacional de Antropología e Historia,0,GABRIELA MARISCAL QUINTANAR
36109,Instituto Nacional de Pesca,33856.98,MARISOL RODRIGUEZ DIAZ
36110,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
36112,Secretaría de Cultura,0,LUIS CARLOS MARTINEZ ACEVES
36113,Consejo Nacional de Evaluación de la Política de Desarrollo Social,602777.76,SOLUCIONES ARROBA SYSTEM SA DE CV
36114,XE-IPN Canal 11,0,ELIA GUTIERREZ SANCHEZ
36115,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,CRISTINA IBETT CABRERA REALI
36116,Instituto Nacional de Pesca,11000.29,GABRIELA DE JESUS CHAVEZ ARRENQUIN
36117,Secretaría de Medio Ambiente y Recursos Naturales,0,COMISION FEDERAL DE ELECTRICIDAD
36118,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36120,Secretaría de la Función Pública,0,ISAAC FRANCISCO RODRIGUEZ OLIVARES
36123,Secretaría de Medio Ambiente y Recursos Naturales,0,SISTEMA DE AGUA POTABLE DE ZAPOTLAN
36124,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36125,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
36126,Instituto de Administración y Avalúos de Bienes Nacionales,0,JORGE ANTONIO HERNANDEZ PLASCENCIA
36127,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
36128,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
36129,Secretaría de Comunicaciones y Transportes,0,VIAJES YESHUA SA DE CV
36131,Centro SCT Oaxaca,13881246.95,CONSTRUCTORA RAMINCA S.A. DE C.V.
36132,Dirección General de Recursos Materiales y Servicios Generales,32000,OSCAR ANDRES DURON MENDEZ
36133,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
36139,Centro SCT Querétaro,1004487.82,PROYECTOS CONSULTORIAS Y SERVICIOS EN INGENIERIA S.A. DE C.V.
36141,Secretaría de Cultura,0,GUILLERMO FAVIO CRUZ ESTRADA
36142,Instituto de Administración y Avalúos de Bienes Nacionales,0,ENRIQUE DEL CARMEN BAEZA LOPEZ
36145,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36146,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36147,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36148,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36149,Secretaría de Gobernación,0,FERBEL NORTE SA DE CV
36150,Secretaría de Cultura,0,MARIA JOSE EVIA HERRERO
36151,Secretaría de la Función Pública,0,EDGAR PIÑA HERNANDEZ
36152,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36153,Instituto Nacional de Bellas Artes y Literatura,0,JARKS CONTROL SYSTEM SA DE CV
36154,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36157,Instituto Nacional de Bellas Artes y Literatura,0,EXPLORA TOURS SA DE CV
36158,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,LIDIA IZQUIERDO HERNANDEZ
36159,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
36160,Secretaría de Marina,0,ANDRES MOCTEZUMA GONZALEZ
36161,Instituto Nacional de Bellas Artes y Literatura,0,VICTOR HUGO URIBE TORRES
36163,Instituto de Administración y Avalúos de Bienes Nacionales,0,RAFAEL LEON GUZMAN
36164,Fideicomiso de los Sistemas Normalizado de Competencia Laboral y de Certificación de Competencia Laboral,44800,OPERADORA CENTRAL DE ESTACIONAMIENTOS S A DE C V
36165,Instituto de Administración y Avalúos de Bienes Nacionales,0,YELHA SA DE CV
